image,status,brightness,blur_score,contrast,warnings,has_label,class
10.jpg,ok,126.5,1779.4,48.6,,True,rebar corrosion
12.jpg,ok,130.1,10463.6,38.3,,True,rebar corrosion
26.jpg,ok,102.6,532.7,43.8,,True,rebar corrosion
43.jpg,ok,135.7,245.4,47.2,,True,rebar corrosion
5.jpg,ok,127.7,2992.1,63.8,,True,rebar corrosion
9.jpg,ok,116.5,1144.0,44.7,,True,rebar corrosion
Image_0_8072716.jpg,ok,126.5,325.1,50.0,,True,rebar corrosion
Image_104_6235307.jpg,ok,146.6,177.8,48.1,,True,rebar corrosion
Image_104_9592740.jpg,ok,121.5,103.8,52.2,,True,rebar corrosion
Image_107_1194343.jpg,ok,110.7,131.7,42.6,,True,rebar corrosion
Image_118_1377505.jpg,ok,159.2,171.0,39.9,,True,rebar corrosion
Image_118_2725125.jpg,ok,145.6,199.2,33.6,,True,rebar corrosion
Image_118_6579825.jpg,ok,152.9,168.9,39.0,,True,rebar corrosion
Image_118_9362556.jpg,ok,160.3,116.3,40.0,,True,rebar corrosion
Image_119_2032759.jpg,ok,117.7,132.0,48.7,,True,minor spalling
Image_119_3665189.jpg,ok,106.8,219.4,53.8,,True,moderate spalling
Image_119_463113.jpg,ok,125.9,309.8,53.3,,True,rebar corrosion
Image_120_239090.jpg,ok,119.6,184.0,46.6,,True,rebar corrosion
Image_120_3539958.jpg,ok,128.5,168.0,49.9,,True,minor spalling
Image_120_411126.jpg,ok,138.0,143.3,45.8,,True,rebar corrosion
Image_12_7585117.jpg,ok,128.7,691.3,57.2,,True,rebar corrosion
Image_12_807758.jpg,ok,153.9,1282.3,55.6,,True,rebar corrosion
Image_132_1097149.jpg,ok,158.9,84.4,50.5,,True,rebar corrosion
Image_132_587792.jpg,ok,149.5,88.7,52.2,,True,rebar corrosion
Image_138_4648767.jpg,ok,179.2,90.8,49.1,,True,rebar corrosion
Image_138_698252.jpg,ok,174.6,106.1,48.4,,True,rebar corrosion
Image_140_7111367.jpg,ok,141.0,415.8,42.9,,True,rebar corrosion
Image_140_7140904.jpg,ok,157.1,142.9,44.2,,True,rebar corrosion
Image_144_1542437.jpg,ok,105.7,164.0,36.2,,True,rebar corrosion
Image_152_7319799.jpg,ok,170.8,154.4,69.0,,True,rebar corrosion
Image_152_7357179.jpg,ok,174.8,180.7,62.9,,True,rebar corrosion
Image_152_8291368.jpg,ok,175.5,197.3,64.5,,True,rebar corrosion
Image_152_8770028.jpg,ok,160.1,162.9,64.1,,True,rebar corrosion
Image_26_4976662.jpg,ok,149.7,845.5,58.5,,True,structural crack
Image_26_5383406.jpg,ok,169.0,960.4,62.5,,True,structural crack
Image_26_6822747.jpg,ok,157.7,698.0,62.0,,True,structural crack
Image_8_1733177.jpg,ok,107.6,89.2,31.6,,True,rebar corrosion
Image_9_6584062.jpg,ok,131.2,184.6,45.6,,True,rebar corrosion
Image_9_9195853.jpg,ok,151.4,125.2,37.0,,True,rebar corrosion
corrosion_103.jpg,ok,159.3,978.2,45.8,,True,rebar corrosion
corrosion_125.jpg,ok,127.6,258.6,44.6,,True,rebar corrosion
corrosion_15.jpg,ok,126.9,1392.2,64.7,,True,rebar corrosion
corrosion_157.jpg,ok,153.5,1255.4,54.8,,True,delamination
corrosion_16.jpg,ok,154.4,2349.9,50.2,,True,rebar corrosion
corrosion_170.jpg,ok,154.5,2454.0,63.8,,True,rebar corrosion
corrosion_2.jpg,ok,72.0,2530.2,36.0,,True,rebar corrosion
corrosion_209.jpg,ok,117.9,580.4,47.2,,True,delamination
corrosion_25.jpg,ok,131.6,1145.9,59.1,,True,rebar corrosion
corrosion_251.jpg,ok,146.7,1153.2,37.7,,True,rebar corrosion
corrosion_26.jpg,ok,123.2,382.5,50.6,,True,minor spalling
corrosion_262.jpg,ok,140.3,107.5,61.1,,True,structural crack
corrosion_40.jpg,ok,155.4,327.0,44.4,,True,rebar corrosion
corrosion_57.jpg,ok,177.4,872.2,50.6,,True,rebar corrosion
corrosion_59.jpg,ok,127.8,8329.1,45.5,,True,microcrack
corrosion_62.jpg,ok,150.6,888.0,49.6,,True,rebar corrosion
corrosion_70.jpg,ok,102.4,919.5,64.0,,True,rebar corrosion
corrosion_72.jpg,ok,101.0,433.1,34.0,,True,minor spalling
corrosion_80.jpg,ok,110.2,5707.9,47.2,,True,rebar corrosion
corrosion_85.jpg,ok,194.4,129.2,61.4,,True,rebar corrosion
corrosion_9.jpg,ok,153.8,376.3,42.5,,True,rebar corrosion
corrosion_94.jpg,ok,140.4,1239.1,45.7,,True,rebar corrosion
crack1.jpg,flagged,133.8,67.5,16.0,too blurry,True,structural crack
crack10.jpg,flagged,152.6,61.9,13.7,too blurry; low contrast,True,structural crack
crack11.jpg,flagged,149.5,68.8,18.9,too blurry,True,structural crack
crack12.jpg,flagged,138.4,64.9,17.5,too blurry,True,structural crack
crack12605.jpg,flagged,185.5,52.9,21.3,too blurry,True,structural crack
crack12642.jpg,flagged,188.4,69.9,28.5,too blurry,True,structural crack
crack1274.jpg,ok,178.2,144.2,41.8,,True,structural crack
crack1275.jpg,ok,181.7,111.1,36.2,,True,structural crack
crack1276.jpg,ok,177.5,104.1,37.8,,True,structural crack
crack1277.jpg,ok,199.2,134.9,40.0,,True,structural crack
crack1278.jpg,ok,175.2,181.2,32.9,,True,microcrack
crack1279.jpg,ok,174.4,103.8,37.6,,True,structural crack
crack1280.jpg,ok,173.5,159.2,38.6,,True,structural crack
crack1281.jpg,ok,171.4,94.1,35.8,,True,structural crack
crack1282.jpg,ok,196.7,153.2,39.1,,True,structural crack
crack1283.jpg,ok,172.4,108.0,38.3,,True,structural crack
crack1285.jpg,ok,171.5,141.6,34.9,,True,structural crack
crack1286.jpg,ok,174.7,134.0,37.1,,True,structural crack
crack1287.jpg,ok,176.9,125.4,39.3,,True,structural crack
crack1288.jpg,ok,187.8,147.5,39.4,,True,structural crack
crack1289.jpg,ok,180.9,147.4,39.2,,True,structural crack
crack1290.jpg,ok,184.6,126.7,39.1,,True,structural crack
crack1292.jpg,ok,175.5,99.9,30.3,,True,structural crack
crack1293.jpg,ok,176.1,115.8,29.0,,True,structural crack
crack1294.jpg,ok,173.0,113.9,31.8,,True,structural crack
crack1295.jpg,ok,178.0,132.8,29.6,,True,structural crack
crack1296.jpg,ok,180.7,127.1,28.2,,True,structural crack
crack13.jpg,flagged,155.8,37.8,13.4,too blurry; low contrast,True,structural crack
crack1301.jpg,flagged,172.1,23.0,18.3,too blurry,True,structural crack
crack1302.jpg,flagged,165.5,22.1,14.2,too blurry; low contrast,True,microcrack
crack1327.jpg,ok,188.7,91.9,34.8,,True,structural crack
crack1329.jpg,ok,185.6,129.2,39.1,,True,structural crack
crack1330.jpg,ok,182.6,129.2,35.6,,True,structural crack
crack1331.jpg,ok,182.7,158.0,35.9,,True,structural crack
crack1332.jpg,ok,181.0,112.2,37.2,,True,structural crack
crack1333.jpg,ok,178.6,86.3,35.9,,True,structural crack
crack1334.jpg,ok,177.2,92.0,34.1,,True,structural crack
crack1335.jpg,ok,177.4,93.4,32.7,,True,structural crack
crack1336.jpg,ok,175.8,87.2,34.3,,True,structural crack
crack1337.jpg,flagged,209.6,62.9,29.9,too blurry,True,structural crack
crack1338.jpg,ok,176.6,97.6,29.5,,True,structural crack
crack1339.jpg,ok,178.4,94.5,30.3,,True,microcrack
crack1340.jpg,ok,173.3,145.2,31.7,,True,structural crack
crack1341.jpg,ok,178.8,117.1,29.2,,True,structural crack
crack1342.jpg,ok,172.7,97.4,26.7,,True,structural crack
crack1343.jpg,flagged,170.1,60.3,29.9,too blurry,True,structural crack
crack1344.jpg,flagged,174.0,69.5,27.5,too blurry,True,structural crack
crack1346.jpg,flagged,183.3,68.0,25.7,too blurry,True,structural crack
crack1347.jpg,flagged,207.0,68.3,31.5,too blurry,True,structural crack
crack1348.jpg,ok,203.0,103.2,35.4,,True,structural crack
crack1349.jpg,flagged,200.7,78.5,37.1,too blurry,True,structural crack
crack1350.jpg,flagged,208.6,50.6,31.3,too blurry,True,structural crack
crack1351.jpg,ok,199.3,83.2,34.8,,True,structural crack
crack1352.jpg,ok,195.5,94.5,34.4,,True,structural crack
crack1353.jpg,ok,182.2,191.4,36.0,,True,structural crack
crack1354.jpg,ok,189.9,245.8,18.6,,True,structural crack
crack1355.jpg,ok,185.0,286.8,19.7,,True,structural crack
crack1356.jpg,ok,180.0,212.2,35.3,,True,structural crack
crack14.jpg,flagged,151.6,41.9,17.8,too blurry,True,structural crack
crack145.jpg,flagged,110.6,50.1,24.3,too blurry,True,structural crack
crack1453.jpg,ok,174.5,246.1,30.6,,True,structural crack
crack1454.jpg,ok,170.8,206.6,29.7,,True,structural crack
crack1455.jpg,ok,170.3,191.8,28.3,,True,structural crack
crack1456.jpg,ok,171.9,190.5,29.7,,True,structural crack
crack1457.jpg,ok,171.0,140.2,30.6,,True,structural crack
crack1458.jpg,ok,170.2,158.1,31.8,,True,structural crack
crack1459.jpg,ok,170.4,159.7,30.6,,True,structural crack
crack146.jpg,flagged,108.3,48.4,24.3,too blurry,True,structural crack
crack1460.jpg,ok,216.1,117.5,26.1,,True,structural crack
crack1461.jpg,ok,170.8,199.0,23.7,,True,structural crack
crack1462.jpg,ok,174.9,191.1,24.4,,True,structural crack
crack1463.jpg,ok,173.9,168.5,24.1,,True,structural crack
crack1464.jpg,ok,173.4,144.5,24.2,,True,structural crack
crack1466.jpg,ok,211.0,134.0,27.8,,True,structural crack
crack1467.jpg,ok,203.2,102.9,27.5,,True,structural crack
crack1468.jpg,flagged,215.1,67.1,26.0,too blurry,True,structural crack
crack1469.jpg,ok,197.3,142.3,27.0,,True,structural crack
crack147.jpg,flagged,104.9,51.0,26.8,too blurry,True,structural crack
crack1470.jpg,ok,194.9,161.3,24.1,,True,structural crack
crack1471.jpg,ok,192.9,282.3,26.4,,True,structural crack
crack1472.jpg,ok,185.6,131.6,33.6,,True,structural crack
crack1473.jpg,ok,183.7,108.8,33.2,,True,structural crack
crack1474.jpg,ok,180.3,194.1,32.2,,True,structural crack
crack1475.jpg,ok,179.0,247.9,29.6,,True,structural crack
crack1476.jpg,ok,179.1,137.6,29.7,,True,microcrack
crack1477.jpg,ok,175.5,112.2,33.7,,True,structural crack
crack1478.jpg,ok,173.9,129.9,32.6,,True,structural crack
crack1479.jpg,ok,170.2,129.1,32.5,,True,structural crack
crack148.jpg,flagged,107.9,49.4,25.5,too blurry,True,structural crack
crack1480.jpg,ok,168.0,150.9,33.9,,True,structural crack
crack1481.jpg,flagged,213.4,56.0,29.0,too blurry,True,structural crack
crack1482.jpg,ok,167.5,145.4,33.9,,True,structural crack
crack149.jpg,flagged,108.0,51.9,25.0,too blurry,True,structural crack
crack15.jpg,flagged,147.7,53.3,13.7,too blurry; low contrast,True,structural crack
crack150.jpg,flagged,108.2,56.6,24.7,too blurry,True,structural crack
crack151.jpg,flagged,146.4,77.9,26.6,too blurry,True,structural crack
crack152.jpg,flagged,114.1,58.9,25.1,too blurry,True,structural crack
crack15216.jpg,ok,184.1,317.4,33.9,,True,structural crack
crack15217.jpg,ok,100.6,124.7,23.0,,True,microcrack
crack15218.jpg,ok,97.9,121.4,22.4,,True,structural crack
crack15219.jpg,ok,100.2,120.1,22.3,,True,structural crack
crack15220.jpg,ok,100.8,121.3,23.1,,True,structural crack
crack15221.jpg,ok,97.8,133.5,22.8,,True,structural crack
crack15222.jpg,ok,101.6,120.9,21.3,,True,structural crack
crack15223.jpg,ok,106.8,181.9,21.9,,True,structural crack
crack15226.jpg,ok,107.6,205.0,23.6,,True,structural crack
crack15227.jpg,ok,112.8,88.9,21.3,,True,structural crack
crack15228.jpg,ok,107.9,197.1,24.7,,True,microcrack
crack15229.jpg,ok,112.7,141.7,25.5,,True,structural crack
crack15230.jpg,ok,103.0,118.8,27.2,,True,structural crack
crack15231.jpg,ok,102.4,136.2,24.5,,True,structural crack
crack15232.jpg,ok,103.2,140.4,22.9,,True,structural crack
crack15233.jpg,ok,105.2,145.4,21.5,,True,structural crack
crack153.jpg,flagged,113.5,63.4,25.1,too blurry,True,structural crack
crack154.jpg,flagged,113.8,63.2,24.5,too blurry,True,structural crack
crack155.jpg,flagged,109.4,66.3,27.4,too blurry,True,structural crack
crack156.jpg,ok,113.4,86.4,26.0,,True,structural crack
crack157.jpg,ok,114.6,94.6,26.5,,True,structural crack
crack158.jpg,ok,118.8,81.0,26.0,,True,structural crack
crack159.jpg,flagged,117.7,79.1,27.0,too blurry,True,structural crack
crack16.jpg,flagged,153.4,43.0,16.0,too blurry,True,microcrack
crack161.jpg,ok,117.6,83.8,26.7,,True,structural crack
crack16498.jpg,ok,184.6,96.5,22.9,,True,structural crack
crack16499.jpg,ok,188.0,147.5,33.1,,True,structural crack
crack16500.jpg,ok,186.4,120.9,27.3,,True,structural crack
crack16501.jpg,ok,169.9,135.0,30.8,,True,structural crack
crack16502.jpg,ok,181.7,142.1,28.4,,True,structural crack
crack16503.jpg,ok,174.3,112.0,29.9,,True,structural crack
crack16504.jpg,ok,185.5,111.7,29.0,,True,structural crack
crack16505.jpg,ok,178.3,118.1,29.0,,True,structural crack
crack16506.jpg,ok,169.5,124.2,28.5,,True,structural crack
crack16507.jpg,ok,175.6,137.7,30.2,,True,structural crack
crack16508.jpg,ok,169.1,131.9,28.8,,True,structural crack
crack16509.jpg,ok,172.9,146.7,28.7,,True,structural crack
crack16510.jpg,ok,170.6,179.6,29.3,,True,structural crack
crack16511.jpg,ok,172.5,184.2,28.9,,True,structural crack
crack16512.jpg,ok,207.4,88.6,20.7,,True,structural crack
crack16513.jpg,ok,207.9,110.8,20.3,,True,structural crack
crack16514.jpg,ok,208.6,121.9,20.3,,True,structural crack
crack16515.jpg,ok,198.7,90.5,26.2,,True,structural crack
crack16516.jpg,ok,204.5,80.5,20.9,,True,structural crack
crack16517.jpg,ok,194.1,87.1,25.8,,True,structural crack
crack16518.jpg,ok,208.0,111.6,19.9,,True,microcrack
crack16519.jpg,ok,192.4,94.3,25.0,,True,structural crack
crack16520.jpg,flagged,190.7,58.4,25.2,too blurry,True,structural crack
crack16521.jpg,flagged,186.8,78.7,20.7,too blurry,True,microcrack
crack16522.jpg,flagged,193.4,27.5,24.8,too blurry,True,structural crack
crack16523.jpg,flagged,190.8,60.5,23.5,too blurry,True,structural crack
crack16524.jpg,flagged,190.7,55.5,21.3,too blurry,True,structural crack
crack16525.jpg,ok,184.4,82.6,23.9,,True,microcrack
crack16526.jpg,flagged,183.0,68.9,24.4,too blurry,True,structural crack
crack16527.jpg,flagged,186.2,64.6,24.5,too blurry,True,structural crack
crack1687.jpg,ok,170.1,151.2,17.6,,True,structural crack
